ID,Barcode,Item_Name,MRP,Rate_A,Rate_B,WS_Price,Rate_C,Last_Used,Available_Stock,UOM,HSN,Tax_Percentage,Discount_Percentage,Low_Stock_Quantity,Expiry_Date,Description,Total_Sold,Brand_Name,Supplier_Name,Full_Bin_Qty,Managed_Bin
4402,4402,Net BC Cup Bra 36,215,150,150,90,120,03-10-2021,6,Pcs,6212,0,0,0,01-01-2100,Sunder Hosiery,0,,,0,FALSE
4403,4403,Amante Bra 75301 32B White,745,700,700,523.28,700,03-10-2021,1,Pcs,6212,0,0,0,01-01-2100,Sunder,0,,,0,FALSE
4404,4404,Amante Bra 75301 32B Black,745,700,700,523.28,700,26-08-2022,0,Pcs,6212,0,0,0,01-01-2100,Sunder,1,,,0,FALSE
4405,4405,Amante Bra 75301 32B Sandlewood,745,700,700,523.28,700,18-09-2021,0,Pcs,6212,0,0,0,01-01-2100,Sunder,0,,,0,FALSE
4406,4406,Amante Bra 75301 34B White,745,700,700,523.28,700,28-12-2022,0,Pcs,6212,0,0,0,01-01-2100,Sunder,1,,,0,FALSE
4407,4407,Amante Bra 75301 34B Black,745,700,700,523.28,700,03-10-2021,1,Pcs,6212,0,0,0,01-01-2100,Sunder,0,,,0,FALSE
4408,4408,Amante Bra 75301 34B Sandlewood,745,700,700,523.28,700,28-12-2022,0,Pcs,6212,0,0,0,01-01-2100,Sunder,1,,,0,FALSE
4409,4409,Amante Bra 75301 32C White,745,700,700,523.28,700,03-10-2021,1,Pcs,6212,0,0,0,01-01-2100,Sunder,0,,,0,FALSE
4410,4410,Amante Bra 75301 36C Black,745,700,700,523.28,700,30-04-2022,0,Pcs,6212,0,0,0,01-01-2100,Sunder,1,,,0,FALSE
4411,4411,Amante Bra 75301 36C Sandlewood,745,700,700,523.28,700,12-02-2022,0,Pcs,6212,0,0,0,01-01-2100,Sunder,0,,,0,FALSE
4412,4412,Amante Sports Bra 78801 S Pink,445,400,370,312.56,370,22-01-2023,1,Pcs,6212,0,0,0,01-01-2100,Sunder,3,,,0,FALSE
4413,4413,Amante Sports Bra 78801 S Grey,445,400,400,312.56,400,22-01-2023,2,Pcs,6212,0,0,0,01-01-2100,Sunder,4,,,0,FALSE
4414,4414,Amante Sports Bra 78801 M Pink,445,400,370,312.56,370,22-01-2023,2,Pcs,6212,0,0,0,01-01-2100,Sunder,2,,,0,FALSE
4415,4415,Amante Sports Bra 78801 M Grey,445,400,370,312.56,370,22-01-2023,1,Pcs,6212,0,0,0,01-01-2100,Sunder,3,,,0,FALSE
4416,4416,Amante Sports Bra 78801 L Pink,445,400,370,312.56,370,12-09-2022,3,Pcs,6212,0,0,0,01-01-2100,Sunder,1,,,0,FALSE
4417,4417,Amante Sports Bra 78801 L Grey,445,400,370,312.56,370,22-01-2023,1,Pcs,6212,0,0,0,01-01-2100,Sunder,3,,,0,FALSE
4418,4418,Amante Sports Bra 78801 XL Pink,445,400,370,312.56,370,12-09-2022,3,Pcs,6212,0,0,0,01-01-2100,Sunder,0,,,0,FALSE
4419,4419,Amante Sports Bra 78801 XL Grey,445,400,370,312.56,370,15-01-2023,2,Pcs,6212,0,0,0,01-01-2100,Sunder,1,,,0,FALSE
4420,4420,Amante Slim Pad Bra 10202 32B White,845,800,800,593.52,800,03-10-2021,1,Pcs,6212,0,0,0,01-01-2100,Sunder,0,,,0,FALSE
4421,4421,Amante Slim Pad Bra 10202 32B Nude,845,800,800,593.52,800,03-10-2021,1,Pcs,6212,0,0,0,01-01-2100,Sunder,0,,,0,FALSE
4422,4422,Amante Slim Pad Bra 10202 32B Black,845,800,800,593.52,800,03-10-2021,1,Pcs,6212,0,0,0,01-01-2100,Sunder,0,,,0,FALSE
4423,4423,Amante Slim Pad Bra 10202 34B White,845,800,800,593.52,800,03-10-2021,1,Pcs,6212,0,0,0,01-01-2100,Sunder,0,,,0,FALSE
4424,4424,Amante Slim Pad Bra 10202 34B Nude,845,800,800,593.52,800,15-01-2022,1,Pcs,6212,0,0,0,01-01-2100,Sunder,0,,,0,FALSE
4425,4425,Amante Slim Pad Bra 10202 34C Black,845,800,800,593.52,800,15-01-2022,0,Pcs,6212,0,0,0,01-01-2100,Sunder,0,,,0,FALSE
4426,4426,Amante Slim Pad Bra 10202 36B White,845,800,800,593.52,800,03-10-2021,1,Pcs,6212,0,0,0,01-01-2100,Sunder,0,,,0,FALSE
4427,4427,Amante Slim Pad Bra 10202 36B Nude,845,800,800,593.52,800,03-10-2021,1,Pcs,6212,0,0,0,01-01-2100,Sunder,0,,,0,FALSE
